Item Number,RYSE P/N,Manufacturer P/N,Manufacturer Name,Part Type,Value (Text),Description,Quantity,Designator
1,CAP-000176,0201N101J500CT,Walsin Technology Corporation,Capacitor,100p,CAP CER 100PF 50V C0G/NP0 0201,1,C13
2,CAP-000177,GRM033Z71C104KE14D,Murata Electronics,Capacitor,0.1u,CAP CER 0.1UF 16V X7R 0201,8,C1-2 C8-10 C12 C14 C17
3,CAP-000178,0201N120G500CT,Walsin Technology Corporation,Capacitor,12p,CAP CER 12PF 50V C0G/NP0 0201,2,C4 C11
4,CAP-000179,TMK063CG821JT-F,Taiyo Yuden,Capacitor,820P,CAP CER 820PF 25V C0G/NP0 0201,1,C16
5,CAP-000180,GRM155R70J105KA12D,Murata Electronics,Capacitor,1u,CAP CER 1UF 6.3V X7R 0402,1,C15
6,CAP-000181,CL05A475MP5NRNC,Samsung Electro-Mechanics,Capacitor,4.7u,CAP CER 4.7UF 10V X5R 0402,4,C3 C6-7 C20
7,CRY-000002,ECS-320-12-37-CKM-TR3,ECS Inc.,Crystal,32M,CRYSTAL 32.0000MHZ 12PF SMD,1,X3
8,IND-000010,LQP03TN15NJ02D,Murata Electronics,Inductor,15n,FIXED IND 15NH 250MA 700MOHM SMD,1,L3
9,IND-000017,LQM18DN100M70L,Murata Electronics,Inductor,,FIXED IND 10UH 300MA,2,L1-2
10,IC-000062,NRF52840-QIAA-R,Nordic Semiconductor ASA,IC,,IC RF TXRX+MCU 802.15.4 73VFQFN,1,U1
12,RES-000122,RC0201JR-076R2L,YAGEO,Resistor,6.2,RES 6.2 OHM 5% 1/20W 0201,1,L4
13,SHD-000005,SH-10.2MM9.8MM1.4MM-AL,AXIS Labs,Shield,,RF shield for BLE0101,1,S1
14,CAP-000190,UMK063CG0R9CTHF,Taiyo Yuden,Capacitor,0.9p,CAP CER 0.9PF 50V C0G/NP0 0201,1,C18
